text,time,rating,category
来今雨轩茶社,4,4.7,餐饮美食
端门快餐,3,3.7,餐饮美食
老北京炸酱面(芳华便利店店),12,4.4,餐饮美食
隆德堂青瓷艺术茶馆(故宫店),10,4.3,餐饮美食
北京三禾稻香村(南池子店),10,4.4,餐饮美食
庆丰包子铺,10,4.5,餐饮美食
程府宴(南长街四合院店),18,4.6,餐饮美食
潮府林苑·潮州菜(故宫店),19,4.6,餐饮美食
泽园酒家,19,4.2,餐饮美食
四季民福烤鸭店(故宫店),10,4.8,餐饮美食
河沿肉饼Beijing Pie(故宫店),10,4.5,餐饮美食
厚榭潮汕菜(王府井步行街店),18,4.4,餐饮美食
北平制冰厂,9,,餐饮美食
The Georg,8,4.5,餐饮美食
吉祥春饼·烤鸭(北京故宫店),9,4.5,餐饮美食
"南门铜锅涮肉(故宫,王府井店)",7,4.6,餐饮美食
京宝源南门涮肉(王府井店),21,4.5,餐饮美食
国家大剧院咖啡厅,36,4.0,餐饮美食
信阳宴(天安大厦店),23,4.4,餐饮美食
41号炸酱面(南河沿店),15,4.0,餐饮美食
庆丰包子铺(故宫店),9,4.4,餐饮美食
毛家食府烤鸭店,21,4.4,餐饮美食
茶百道(北京东城故宫东华门店),13,4.5,餐饮美食
北京贵宾楼饭店,21,4.7,餐饮美食
北京贵宾楼饭店·红墙咖啡厅(王府井步行街店),21,4.3,餐饮美食
印象北京-稻香村,13,4.4,餐饮美食
十八梯棚棚面(故宫店),13,4.2,餐饮美食
河沿肉饼(东华门店),9,4.7,餐饮美食
百年前门铜锅涮肉(故宫东门12店),9,4.5,餐饮美食
南门涮肉(故宫王府井旗舰店),20,4.6,餐饮美食
东门涮肉(故宫·王府井店),10,4.5,餐饮美食
紫光园清真北京小吃(故宫·东华门店),10,4.6,餐饮美食
京门南门涮肉(北京店),10,4.3,餐饮美食
全福德烤鸭店(故宫东门店),12,4.7,餐饮美食
老东门百年卤煮(故宫店),10,4.3,餐饮美食
luckin coffee 瑞幸咖啡(东华门大街店),10,4.5,餐饮美食
胡同是甜的,14,4.3,餐饮美食
北京饭店谭家菜,29,4.4,餐饮美食
温鼎府·海鲜火锅(前门23号院店),26,4.8,餐饮美食
冰窖餐厅,8,3.9,餐饮美食
糖房咖啡(故宫店),13,4.5,餐饮美食
翠明庄宾馆,10,4.7,餐饮美食
前门杨记涮肉,22,4.6,餐饮美食
仁和酒家(东华门大街),12,4.3,餐饮美食
半山腰·云南菜(王府中環旗舰店),16,4.6,餐饮美食
北京隆和居美食城(正义路店),19,4.4,餐饮美食
京城九门轩烤鸭店(故宫店),12,4.7,餐饮美食
八爷涮肉(王府井·故宫店),12,4.7,餐饮美食
王府海堂HAITANG(王府中环西座店),19,4.7,餐饮美食
北京饭店诺金作家酒吧,28,4.6,餐饮美食
清真·穆府兰州牛肉面•麻辣烫,19,4.3,餐饮美食
馥苑(王府中环)北京首店,20,4.3,餐饮美食
北京饭店,28,4.5,餐饮美食
正耀胡同小馆 • 烤鸭专研店(王府井店),19,4.5,餐饮美食
北京饭店-诺金东33餐厅,28,4.0,餐饮美食
樱之味精致料理融合餐厅,19,4.3,餐饮美食
醉面(王府井喜悦购物中心店),25,4.4,餐饮美食
景运门故宫餐厅,18,3.9,餐饮美食
Grid Coffee(北京王府中環店),18,4.5,餐饮美食
荔银肠粉(王府井喜悦店),19,4.4,餐饮美食
普瑞轩茶空间(王府井店),18,4.6,餐饮美食
老南门涮肉,19,4.6,餐饮美食
LINLEE·手打柠檬茶(西城前门店),25,4.2,餐饮美食
文华饼店The Mandarin Cake Shop(王府中环东座店),18,4.5,餐饮美食
LeGrenieraPain正本原(王府中环东座店),19,4.5,餐饮美食
肯德基(前门店),25,4.6,餐饮美食
素虎(前门店),24,4.7,餐饮美食
BONJOUR本就(北京王府中环店),20,4.5,餐饮美食
麦当劳(正阳市场店),24,4.6,餐饮美食
野火·鲜蚝·Craft beer,19,4.5,餐饮美食
肯悦咖啡前门店,20,4.2,餐饮美食
紫膳,19,4.4,餐饮美食
金宅门烤鸭店(前门东大街店),26,4.5,餐饮美食
京城烤鸭店,21,4.4,餐饮美食
紫光园清真北京小吃(天安门店),21,4.7,餐饮美食
尹三豆汁(王府井喜悦店),20,4.6,餐饮美食
肯德基(前门东大街店),28,4.5,餐饮美食
鮨政·Omakase(北京王府中环店),19,4.5,餐饮美食
南门铜锅涮肉(前门总店),27,4.5,餐饮美食
云阿蛮云南生烫牛肉米线(王府井店),20,4.5,餐饮美食
星巴克(王府井喜悦店),19,4.5,餐饮美食
京州涮·老北京铜锅涮羊肉(王府井故宫店),14,4.7,餐饮美食
小肠陈卤煮(王府井喜悦店),19,4.5,餐饮美食
莆田餐厅PUTIEN(王府中环店),22,4.5,餐饮美食
方砖厂69号炸酱面(王府世纪店),19,4.7,餐饮美食
文华扒房,18,4.3,餐饮美食
北京饭店中华礼仪厅(长安街店),21,4.3,餐饮美食
糖小妙可丽饼(王府井喜悦店),20,4.3,餐饮美食
升旗宾馆(北京天安门广场前门地铁站店),28,4.6,餐饮美食
梨花牛肉汤(王府井喜悦店),20,4.3,餐饮美食
cococean椰子水(王府中环东座店),18,4.2,餐饮美食
首尔饭家(王府中环东座店),19,4.4,餐饮美食
呷哺呷哺(王府井百货店),20,4.4,餐饮美食
LELECHA乐乐茶(王府井喜悦店),20,4.4,餐饮美食
小木船潮汕牛肉火锅(王府井喜悦旗舰店),20,4.5,餐饮美食
百年前门铜锅涮肉(王府井喜悦7店),20,4.7,餐饮美食
明园餐厅·烤鸭·北京菜(王府井店),19,4.7,餐饮美食
方砖厂69号炸酱面(王府井喜悦店),20,4.7,餐饮美食
霸王茶姬(北京王府井喜悦店),20,4.6,餐饮美食
老北京炸酱面·烤鸭(前门店),21,4.6,餐饮美食
三元梅园(王府井喜悦店),20,4.3,餐饮美食
味千拉面(王府井喜悦店),20,4.3,餐饮美食
米村拌饭(王府井喜悦店),20,4.5,餐饮美食
初色海鲜自助(王府井喜悦店),20,4.6,餐饮美食
卤校长老火锅(王府井喜悦店),20,4.6,餐饮美食
卷翻天·卷饼(王府井喜悦店),20,4.1,餐饮美食
涛小匠京味麻辣烫(王府井喜悦店),20,4.4,餐饮美食
瑞幸咖啡(王府井喜悦店),20,4.5,餐饮美食
泰妃殿(北京首店),20,4.6,餐饮美食
明洞阿姨韩式酱蟹烤肉大排档(王府井喜悦中心店),20,4.6,餐饮美食
Tomacado花厨(王府中環旗舰店),21,4.7,餐饮美食
瑭所(王府中环东座店),19,4.5,餐饮美食
The Cheesecake Factory芝乐坊餐厅(王府中环东座店),21,4.7,餐饮美食
茶百道(北京王府井喜悦中心店),20,4.4,餐饮美食
喜茶(北京王府井喜悦购物中心店),20,4.5,餐饮美食
Leclair de genie闪电巴黎(王府中环东座店),21,4.6,餐饮美食
蟹太太(王府井喜悦店),20,4.5,餐饮美食
拉蒂娜·巴西牛排馆 Latina(王府井店),20,4.6,餐饮美食
盖码帮·长沙小炒(王府井喜悦店),20,4.4,餐饮美食
第六季自助餐厅(王府世纪店),16,4.7,餐饮美食
潮选·潮汕菜(王府井喜悦店),20,4.5,餐饮美食
CHINCHIN青青·泰国料理(王府中环东座店),21,4.3,餐饮美食
黔三一夺夺粉酸汤火锅(王府井店),20,4.5,餐饮美食
东庆涮肉(王府井喜悦店),20,4.5,餐饮美食
52Piccolo餐厅(王府井喜悦店),20,4.6,餐饮美食
大董(王府井喜悦购物中心店),20,4.6,餐饮美食
熊喵来了火锅(北京王府井喜悦店),20,4.7,餐饮美食
玺源居涮肉(王府井店),20,4.7,餐饮美食
LINLEE·手打柠檬茶(王府井喜悦店),20,4.4,餐饮美食
喜悦炙子烤肉·北京菜(王府井喜悦店),20,4.4,餐饮美食
兰西西砂锅(王府井喜悦店),20,4.3,餐饮美食
燃堂宜宾燃面,24,4.5,餐饮美食
鸡柳大人(王府井喜悦店),20,4.4,餐饮美食
丰泽园饭店(王府井店),19,4.7,餐饮美食
A One Kitchen·南京精菜馆(北京南京大饭店分店),17,4.5,餐饮美食
比格比萨自助(王府井喜悦店),20,4.6,餐饮美食
四眼仔车仔面(王府井喜悦店),20,4.1,餐饮美食
鱼你在一起(王府井喜悦购物中心店),20,4.2,餐饮美食
农小锅(北京王府井喜悦店),20,4.5,餐饮美食
晶丽香榭自助餐(南京大饭店),16,4.6,餐饮美食
拾也·烤肉放题(王府井喜悦店),20,4.6,餐饮美食
Hatsune隐泉日式料理(王府中环店),20,4.5,餐饮美食
庆丰包子铺(正阳市场4号楼店),23,4.3,餐饮美食
巧克玩家(王府井喜悦店),20,4.2,餐饮美食
泰丰楼,23,4.6,餐饮美食
爷爷不泡茶NOYEYENOTEA(北京王府井东安门店),17,4.6,餐饮美食
醉人椒麻辣香锅(王府井喜悦店),20,4.2,餐饮美食
% Arabica阿拉比卡咖啡(王府中環店),22,4.4,餐饮美食
前门胡同铜锅涮肉(北京总店),21,4.3,餐饮美食
南门四季铜锅涮肉(王府井店),19,4.5,餐饮美食
蜜雪冰城(王府井喜悦店),19,4.6,餐饮美食
前门往事炙子烤肉(西河沿店),21,4.4,餐饮美食
四季民福烤鸭店(王府井东安门店),17,4.8,餐饮美食
辉佐参鸡汤(王府井喜悦店),20,4.5,餐饮美食
奈雪的茶(王府井喜悦购物中心店),20,4.5,餐饮美食
宫逗小厨·新派亲子涮肉,16,4.4,餐饮美食
胡同月色(北京市百货大楼店),19,4.5,餐饮美食
食之六七面馆(王府中环东座店),22,4.5,餐饮美食
和合谷(王府井百货店),19,4.4,餐饮美食
鸿运楼老北京涮肉(前门店),22,4.8,餐饮美食
满记甜品(北京市百货大楼店),19,4.6,餐饮美食
南门烤鸭店(王府井总店),16,4.4,餐饮美食
大鸭梨烤鸭(王府井臻选店),20,4.7,餐饮美食
京城第一羯(前门总店),22,4.7,餐饮美食
the Roll'ING手作瑞士卷专门店(北京王府井喜悦店),23,4.4,餐饮美食
京城贝勒爷炙子烤肉,21,4.6,餐饮美食
满恒源·炭火铜锅涮肉(西河沿总店),22,4.6,餐饮美食
baker&spice(北京王府中环店店),20,4.5,餐饮美食
郭记北京烤鸭(王府井步行街店),19,4.3,餐饮美食
方砖厂69号炸酱面(前门西河沿店),22,4.7,餐饮美食
金掌勺(王府井店),22,4.6,餐饮美食
星巴克(北京市百货大楼店),22,4.6,餐饮美食
阿达西新疆风味餐厅(王府井店),15,4.5,餐饮美食
MUJI Diner無印良品餐堂(北京坊店),22,4.6,餐饮美食
河沿肉饼BeijingPie(前门店),20,4.7,餐饮美食
景福轩·福建菜(王府中环东座店),22,4.4,餐饮美食
星巴克(王府中环店),20,4.5,餐饮美食
哈根达斯(北京哈姆雷斯店),22,4.6,餐饮美食
露丝卡文·世界冠军面包(王府井百货大楼店),22,4.3,餐饮美食
沙胆彪炭炉牛杂煲(北京通州湾里王府井店),18,4.4,餐饮美食
九十叶·抹茶专门店(王府中环东座店),22,4.5,餐饮美食
蟹道(王府中环东座店),22,4.6,餐饮美食
前门大街夜市,23,4.7,餐饮美食
Cafe&Meal MUJI(北京坊西区店),22,4.3,餐饮美食
清华池咖啡(北京市百货大楼店),22,4.4,餐饮美食
半天妖烤鱼(北京市百货大楼店),22,4.6,餐饮美食
阿香米线(北京王府井百货餐厅),22,4.3,餐饮美食
三禾北京稻香村(北京市百货大楼店),22,4.6,餐饮美食
护国寺小吃(肉市街店),23,4.5,餐饮美食
谷田稻香(北京市百货大楼店),22,4.3,餐饮美食
北京胡同烤鸭店(前门店),30,4.6,餐饮美食
正阳炸酱面·烤鸭·新京菜(前门大街店),23,4.5,餐饮美食
月盛斋(前门店),23,4.6,餐饮美食
翠园Jade Garden(王府中环东座店),19,4.5,餐饮美食
肯德基(建华店),19,4.6,餐饮美食
聚宝源(王府井·故宫店),22,4.7,餐饮美食
站点比萨(王府井百货店),22,4.5,餐饮美食
京烟零售(西城四店),17,4.6,购物服务
芳华便利店,13,4.3,购物服务
文创商店(中国国家博物馆店),29,4.1,购物服务
东华门内-故宫文创,8,4.5,购物服务
全聚德(南池子大街店),10,4.3,购物服务
南池子大街,9,4.4,购物服务
标婷护肤品专卖店,8,4.3,购物服务
青稚护手霜(北京东华门店),10,4.2,购物服务
红墙里汉服体验店(故宫店),10,4.4,购物服务
果宜客便利店,19,4.4,购物服务
九花亭汉服清宫服体验(故宫店),15,4.7,购物服务
诗雅阁汉服馆明制服格格服簪花服,16,4.2,购物服务
宫廷佳人汉服体验馆,16,4.4,购物服务
宫廷内外古装体验馆,9,4.2,购物服务
中国世家鉴定收藏网,14,4.2,购物服务
烟酒食品店,27,4.1,购物服务
安硕汉服清宫服体验馆(古装摄影),9,4.3,购物服务
北京景泰蓝,12,4.1,购物服务
北京稻香村(东华门店),11,4.4,购物服务
中商惠民超市(王府井店),13,4.0,购物服务
LE LABO北京合院香氛实验室(王府中环店),16,4.5,购物服务
Aesop伊索(王府中环19号府店),16,4.5,购物服务
PATEK PHILIPPE,26,4.5,购物服务
迪兴天天超市,13,4.3,购物服务
慕佳人汉服清宫服体验馆(故宫店),13,4.3,购物服务
故宫文创馆汉字馆,18,,购物服务
老北京风情街,21,4.2,购物服务
Dover Street Market(王府中环西座店),18,4.4,购物服务
王府中环西座,18,4.5,购物服务
法信书店,19,4.1,购物服务
百年灵(北京王府中环精品店),19,4.1,购物服务
中商惠民便利(王府井店),20,4.2,购物服务
ARC'TERYX始祖鸟(北京王府中环店),21,4.5,购物服务
气球暖暖星(王府井喜悦店),21,4.1,购物服务
加拿大鹅(北京王府中環店),18,4.5,购物服务
CHAUMET(王府中环东座店),19,4.3,购物服务
六福珠宝(北京王府中环广场店),19,4.0,购物服务
便利蜂(王府井步行街店),18,4.4,购物服务
COS(王府中环东座店),19,4.4,购物服务
鼎+Dimbar点心·粥·粉面(北京王府井店),19,3.8,购物服务
嗨特购HITGOO(王府井喜悦店),21,4.3,购物服务
songmont山下有松(北京王府中环店),18,4.4,购物服务
王府中环,18,4.9,购物服务
爱彼(北京王府中环精品店),19,4.2,购物服务
布谷社PrismLand(王府井喜悦店),21,4.4,购物服务
溥仪眼镜(王府中环店),19,4.2,购物服务
九卿房故宫文创,11,,购物服务
TORY BURCH北京王府中环店,22,4.1,购物服务
鑫通平价超市(行李寄存租轮椅),20,4.4,购物服务
云南汇.49coffee,9,,购物服务
老铺黄金(王府中环店),19,4.5,购物服务
名创优品(王府井喜悦店),21,4.5,购物服务
泡泡玛特POP MART自动售货机(王府中环店),19,4.4,购物服务
RELX悦刻(王府井喜悦店),21,4.5,购物服务
源氏木语(东城王府井店),21,4.2,购物服务
MumuLand木木来电(王府井喜悦店),21,4.0,购物服务
福录(王府井喜悦店),21,3.5,购物服务
止痒商店(王府井喜悦店),21,4.4,购物服务
王府井喜悦,21,4.8,购物服务
GuGuGuGu(王府井喜悦店),21,4.2,购物服务
江诗丹顿(王府中环直营店),19,4.0,购物服务
小米之家(东城区王府井百货大楼专卖店),18,4.3,购物服务
东华金街购物中心,21,4.0,购物服务
BOTTEGA VENETA(北京王府中环店),18,3.9,购物服务
西庭·秀色Turkish Feast(王府中环东座店),18,4.5,购物服务
菜百首饰(北京市百货大楼店),19,4.2,购物服务
圣罗兰(北京王府中环店),22,4.1,购物服务
九木杂物社(王府井喜悦店),21,4.1,购物服务
花点时间鲜花店(王府井喜悦店),21,3.9,购物服务
仲夏物语(王府井喜悦店),21,4.1,购物服务
行李寄存永成超市,26,4.4,购物服务
契意坊(北京市百货大楼店),18,3.7,购物服务
LONGCHAMP(王府中环东座店),18,4.3,购物服务
HERE奇梦岛北京王府井喜悦店,21,4.0,购物服务
宝玑精品店 (北京王府中环店),18,3.9,购物服务
王府井商业街,16,4.6,购物服务
北京市百货大楼南馆,16,4.2,购物服务
BYREDO(北京王府中环店),22,3.9,购物服务
紫金阁,16,4.0,购物服务
叁迁造物社(王府井喜悦店),21,4.4,购物服务
开心实验室(王府井喜悦店),21,4.1,购物服务
王府中环东座,18,4.5,购物服务
小天才步步高(北京百货大楼二层店),16,4.1,购物服务
Hamleys哈姆雷斯(百货大楼店),16,4.7,购物服务
知喜书局(王府井喜悦店),22,4.1,购物服务
SUPER RARE(王府井喜悦店),22,4.4,购物服务
牛将军雪花牛·火锅烤肉铁板烧(北京王府井·故宫店),21,4.7,购物服务
DIOR迪奥美妆(北京王府井店),21,4.2,购物服务
漫库MANCOOL(王府井喜悦店),22,4.5,购物服务
迪士尼商店(王府井喜悦店),22,4.6,购物服务
apm MONACO(王府中环东座店),21,4.5,购物服务
大明眼镜(王府井旗舰店),22,4.6,购物服务
观夏书阁(王府中环东座店),21,4.5,购物服务
好友世界商场(装修中),20,4.0,购物服务
老铺黄金(百货大楼店),19,4.5,购物服务
王府井乐器城(东城王府井店),21,4.3,购物服务
王府商厦(王府井喜悦店),21,4.3,购物服务
屈臣氏(北京市百货大楼店),19,4.5,购物服务
jELLYCAT(北京市百货大楼店),19,4.6,购物服务
装修五金建材,20,3.9,购物服务
张一元茶庄(东华金街购物中心店),21,4.4,购物服务
ROLEX(王府中环MO Bar店),21,4.4,购物服务
华为授权体验店(王府井百货),19,4.5,购物服务
红都,23,4.3,购物服务
富士拍立得(北京市百货大楼店),19,4.1,购物服务
华为合作店(东华金街),22,4.0,购物服务
亨吉利世界名表中心(北京市百货大楼店),16,4.0,购物服务
SALOMON萨洛蒙(王府中环东座店),22,4.5,购物服务
有仙儿集淘趣财神殿,22,4.5,购物服务
北京特产平价超市(王府井总店),20,4.1,购物服务
天梭 TISSOT(北京市百货大楼店),16,4.1,购物服务
BURBERRY(北京王府中环),22,4.4,购物服务
ASICS 亚瑟士(北京市百货大楼店),21,4.1,购物服务
马歇尔Marshall(王府井百货大楼店),21,3.7,购物服务
鹰巢数码(北京市百货大楼店),21,3.8,购物服务
青稚护手霜(北京王府井店),20,4.4,购物服务
Apple(北京市百货大楼店),21,3.8,购物服务
华硕智汇家(王府井百货大楼店),21,4.3,购物服务
Gucci(王府中环东座店),22,4.3,购物服务
前门铛铛喜市,23,4.1,购物服务
泰普尔(北京百货大楼店),21,3.6,购物服务
DJI大疆(北京市百货大楼店),21,4.2,购物服务
浪琴表LONGINES(北京市百货大楼店),20,4.0,购物服务
GRAFF格拉夫(北京王府中環珠宝店),19,4.3,购物服务
博朗(北京市百货大楼店),21,3.4,购物服务
TUMI(王府中环东座店),19,4.0,购物服务
Tiffany & Co.蒂芙尼(北京王府中环店),22,4.3,购物服务
北京市百货大楼北馆,21,4.4,购物服务
POP MART泡泡玛特机器人商店(北京市百货大楼店),16,4.4,购物服务
MUJI無印良品(北京坊店),21,4.7,购物服务
北京市百货大楼,19,4.7,购物服务
ΙWС万国(王府井百货店),19,3.9,购物服务
鬼冢虎 Onitsuka Tiger(北京市百货大楼店),19,3.9,购物服务
FILA(北京市百货大楼店),19,4.1,购物服务
佳能相机旗舰店(前门北京坊店),22,4.8,购物服务
lululemon(北京王府井中环中心店),21,4.5,购物服务
索尼富士相机旗舰店(北京坊店),22,4.4,购物服务
王府井百货(北京市百货大楼店)-楼梯,19,4.4,购物服务
vivinevo维维尼奥香氛艺术馆(北京坊店),22,4.2,购物服务
COACH(北京市百货大楼),19,4.3,购物服务
Cartier(王府中环东座店),19,4.4,购物服务
天福号(北京市百货大楼店),20,4.5,购物服务
苹果专卖店(北京市百货大楼店),19,4.0,购物服务
CHANEL(北京市百货大楼店),17,4.3,购物服务
宝珀北京王府中环旗舰店,19,4.2,购物服务
梵克雅宝(王府中环东座店),18,4.4,购物服务
全聚德(百货大楼店),19,4.5,购物服务
三元梅园(王府井店),19,4.6,购物服务
U.W优物生活百货(北京坊店),23,4.3,购物服务
OMEGA欧米茄(北京市百货大楼店),20,4.2,购物服务
盛锡福(王府井大街店),20,4.1,购物服务
飞利浦(北京市百货大楼店),20,3.9,购物服务
海澜之家(王府井大街店),20,4.4,购物服务
IWC万国表(王府中環旗舰店),19,4.3,购物服务
GARMIN(北京市百货大楼店),20,4.1,购物服务
奥佳华按摩椅(王府井百货大楼店),20,3.7,购物服务
积家Jaeger-LeCoultre(王府中环精品店),18,4.2,购物服务
京东便利店(前门大街店),24,4.3,购物服务
PAGE ONE(北京坊店),21,4.8,购物服务
吴裕泰茶庄(王府井店),20,4.7,购物服务
小罐茶(王府井百货店),20,4.2,购物服务
红螺食品(北京市百货大楼店),20,3.8,购物服务
北京市王府井阳光菜市场,17,4.4,购物服务
飞剑(北京市百货大楼店),20,3.6,购物服务
AlooooohaVintage奢侈品寄卖·回收置换养护(北京坊店),25,4.6,购物服务
六必居(北京市百货大楼店),20,4.4,购物服务
LA MER(北京市百货大楼店),18,4.2,购物服务
北京市东城区王府井食品商场,20,4.4,购物服务
飞亚达(北京王府井钟表城一店),20,4.1,购物服务
薄荷公社(北京坊店),25,3.8,购物服务
老铺点钻(东方新天地店),36,4.0,购物服务
浪琴表Longines(东方广场直营店),36,4.1,购物服务
老铺黄金(禅房主题店),36,4.3,购物服务
工美大厦(东单三条),26,4.6,购物服务
精选超市(北京市百货大楼店),18,4.4,购物服务
挽苏旗袍(前门大街店),24,4.4,购物服务
谦祥益(北京坊店),24,4.1,购物服务
POLO RALPH LAUREN(北京市百货大楼店),21,4.3,购物服务
OMEGA欧米茄(北京王府井丹耀大厦店),19,4.2,购物服务
亨得利(北京王府井旗舰店),26,4.5,购物服务
老北京布鞋(王府井专卖店),26,4.2,购物服务
MUJI無印良品(北京市百货大楼店),18,4.6,购物服务
耐克Nike(北京市百货大楼店),18,4.2,购物服务
小天才步步高(王府井图书大厦二层店),26,4.3,购物服务
北京坊,25,4.7,购物服务
王府井新华书店眼镜店,36,4.3,购物服务
亨得利名表维修(王府井店),29,4.3,购物服务
雅诗兰黛(北京市百货大楼店),18,4.1,购物服务
科大讯飞AI学习机专卖店(王府井图书大厦店),22,3.9,购物服务
李宁(王府井二店),20,3.7,购物服务
安踏(丹耀大厦店),20,4.0,购物服务
MUJI無印良品(东方新天地店),27,4.5,购物服务
天梭表Tissot(北京东方广场直营店),27,4.1,购物服务
御食园(前门旗舰店),24,4.3,购物服务
中山公园音乐堂,4,4.7,休闲娱乐
东苑戏楼,15,4.1,休闲娱乐
国家大剧院艺术馆,36,,休闲娱乐
国家大剧院,36,4.8,休闲娱乐
国家大剧院歌剧院,34,4.6,休闲娱乐
国家大剧院音乐厅,34,4.6,休闲娱乐
国家大剧院-小剧场,35,4.5,休闲娱乐
北京饭店金色大厅.演出厅,29,4.0,休闲娱乐
19号府,17,4.1,休闲娱乐
东城智德社区养老服务驿站,14,,休闲娱乐
Blue Note Beijing,24,4.8,休闲娱乐
easy rider逍遥骑士俱乐部,17,3.5,休闲娱乐
长安俱乐部(长安大厦店),19,4.6,休闲娱乐
蓄力健身游泳培训基地(北京饭店游泳馆),21,4.1,休闲娱乐
北京饭店游泳馆,21,3.8,休闲娱乐
咚萌Domo-Ani,20,3.7,休闲娱乐
王府井冰场(王府中环西座店),19,4.4,休闲娱乐
Pure Yoga(王府中环东座店),20,4.6,休闲娱乐
theBodyLab身体实验室(王府中环店),19,4.5,休闲娱乐
MO Bar,20,4.4,休闲娱乐
锅边酒话·精酿小酒馆Craft beer(王府井风情街店),20,3.7,休闲娱乐
环游世界(王府井喜悦店),21,4.4,休闲娱乐
穿越中国(王府井喜悦店),21,4.2,休闲娱乐
潮玩星球(王府井喜悦店),21,4.3,休闲娱乐
初音未来主题嘉年华(王府井喜悦店),21,3.7,休闲娱乐
欢喜中国年(王府井喜悦店),22,3.6,休闲娱乐
别闹(喜悦店),21,3.7,休闲娱乐
PlayRoom品格儿童乐园(北京市百货大楼店),18,3.8,休闲娱乐
NEW NEW TOWN扭扭城(王府井喜悦店),22,4.2,休闲娱乐
诗画中国(王府井喜悦店),20,4.6,休闲娱乐
假日经典小剧场,16,4.2,休闲娱乐
WAASAI娃塞娃娃超好抓(王府井喜悦店),21,4.1,休闲娱乐
星柒玖,16,4.1,休闲娱乐
中国儿童艺术剧院,16,4.8,休闲娱乐
哈姆雷斯儿童乐园(北京市百货大楼店),20,4.2,休闲娱乐
北京王府井文华东方酒店,20,4.8,休闲娱乐
次元GO(王府井喜悦店),21,4.4,休闲娱乐
嗨娃塞(东华金街购物中心店),22,3.6,休闲娱乐
雪梨精酿Sydney Coast Brewing(王府井),17,4.1,休闲娱乐
趣空间(王府井喜悦店),20,4.6,休闲娱乐
顿喜Suddenjoy(王府井喜悦店),24,4.0,休闲娱乐
FEELINGME乐刻私教馆·健身(王府井喜悦店),23,4.3,休闲娱乐
十二间手作,21,3.7,休闲娱乐
TAKARATOMY(北京市百货大楼店),20,3.4,休闲娱乐
影石insta360(王府井百货大楼店),20,2.8,休闲娱乐
B&W宝华韦健音响(王府井百货大楼店),20,3.7,休闲娱乐
BIEMLOFEN GOLF(王府井百货店),20,2.0,休闲娱乐
瑞境XR沉浸式展览院线(北京坊店),21,4.0,休闲娱乐
喜剧部落-保利影城天安门店(脱口秀厅),21,4.6,休闲娱乐
瑞境XR沉浸式展览院线(瑞境数字综合体),21,4.2,休闲娱乐
正阳门下(咖啡店下午茶),21,4.3,休闲娱乐
时空幻境心理沉浸密室(王府井北京市百货大楼店),20,4.1,休闲娱乐
猫咖肉垫社(北京坊店),25,4.5,休闲娱乐
横店电影城(北京市百货大楼店),20,4.6,休闲娱乐
METAL HANDS(前门店),29,4.7,休闲娱乐
游幕VR大空间剧院(北京坊店),26,3.4,休闲娱乐
保利国际影城(北京坊店),23,4.7,休闲娱乐
予寻京喜,26,4.0,休闲娱乐
寻酒人XUN•Cocktail&Whisky Bar,26,4.1,休闲娱乐
魅KTV(王府井步行街店),20,4.5,休闲娱乐
巧克玩家(北京喜悦店),20,3.7,休闲娱乐
